REGIÓN;EEST;PERSONA JURÍDICA;SEDE-LOCAL-FILIAL;DIRECCIÓN;PROGRAMAS LICENCIADOS ;NIVEL FORMATIVO;MODALIDAD
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;SEDE PRINCIPAL (Local 01);Avenida Primavera Nª 970, Urb. Chacarilla;Arquitectura de Interiores;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;SEDE PRINCIPAL (Local 01);Avenida Primavera Nª 970, Urb. Chacarilla;Comunicaciòn Audiovisual Multimedia;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;SEDE PRINCIPAL (Local 01);Avenida Primavera Nª 970, Urb. Chacarilla;Direcciòn y Diseño Gràfico;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;SEDE PRINCIPAL (Local 01);Avenida Primavera Nª 970, Urb. Chacarilla;Direcciòn y Diseño Publicitario;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;SEDE PRINCIPAL (Local 01);Avenida Primavera Nª 970, Urb. Chacarilla;Diseño y Gestiòn de la Moda;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;SEDE PRINCIPAL (Local 01);Avenida Primavera Nª 970, Urb. Chacarilla;Publicidad y Marketing Digital;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;SEDE PRINCIPAL (Local 01);Avenida Primavera Nª 970, Urb. Chacarilla;Diseño de Producto e Innovaciòn Tecnològica;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;SEDE PRINCIPAL (Local 01);Avenida Primavera Nª 970, Urb. Chacarilla;Marketing Estratègico e Innovaciòn;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;SEDE PRINCIPAL (Local 01);Avenida Primavera Nª 970, Urb. Chacarilla;Animación Digital;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;SEDE PRINCIPAL (Local 01);Avenida Primavera Nª 970, Urb. Chacarilla;Diseño de Videojuegos y Entretenimiento Digital;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;SEDE PRINCIPAL (Local 01);Avenida Primavera Nª 970, Urb. Chacarilla;Fotografía e Imagen Digital;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 02;Avenida Primavera Nª 1016, Urb. Chacarilla;Arquitectura de Interiores;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 02;Avenida Primavera Nª 1016, Urb. Chacarilla;Comunicaciòn Audiovisual Multimedia;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 02;Avenida Primavera Nª 1016, Urb. Chacarilla;Direcciòn y Diseño Gràfico;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 02;Avenida Primavera Nª 1016, Urb. Chacarilla;Direcciòn y Diseño Publicitario;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 02;Avenida Primavera Nª 1016, Urb. Chacarilla;Diseño y Gestiòn de la Moda;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 02;Avenida Primavera Nª 1016, Urb. Chacarilla;Publicidad y Marketing Digital;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 02;Avenida Primavera Nª 1016, Urb. Chacarilla;Diseño de Producto e Innovaciòn Tecnològica;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 02;Avenida Primavera Nª 1016, Urb. Chacarilla;Marketing Estratègico e Innovaciòn;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 02;Avenida Primavera Nª 1016, Urb. Chacarilla;Animación Digital;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 02;Avenida Primavera Nª 1016, Urb. Chacarilla;Diseño de Videojuegos y Entretenimiento Digital;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 02;Avenida Primavera Nª 1016, Urb. Chacarilla;Fotografía e Imagen Digital;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 03;Avenida Javier Prado Oeste Nª 980-988;Arquitectura de Interiores;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 03;Avenida Javier Prado Oeste Nª 980-988;Comunicaciòn Audiovisual Multimedia;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 03;Avenida Javier Prado Oeste Nª 980-988;Direcciòn y Diseño Gràfico;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 03;Avenida Javier Prado Oeste Nª 980-988;Direcciòn y Diseño Publicitario;Profesional;Presencial
1782424;Toulouse Lautrec;Instituciones Toulouse Lautrec de Educaciòn Superior SAC;Local 03;Avenida Javier Prado Oeste Nª 980-988;Diseño y Gestiòn de la Moda;Profesional;Presencial
